PairID,Protocol/Results,PMCID,Link,Text,Level of randomization,Restrictions to randomization (check all that apply),Trial design (select the best answer),Factors (select the best answer),Framework (select the best answer),Used full article
31,Protocol,PMC5994046,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5994046/,"...The study uses a cluster randomized wait-list control group design. Fifty community-based addiction treatment programs located in the State of Washington will be assigned to one of two cohorts (Fig. 2) during an index 12-month period: 1) NIATx implementation strategies (Cohort 1), or 2) wait- list control (Cohort 2)....Hypothesized effects are that relative to the wait-list, NIATx strategies will improve implementation (penetration and fidelity) and patient care outcomes (Aim 1 and Aim 2)....### Table 1 Study Specific Aims and Hypotheses...An equal number of programs will be randomized to each study arm....### Data and power analysis The analyses will include a quantitative assessment of Aims 1 to 3 and an economic cost analysis. Table 1 outlines the study aims and hypotheses. The data and power analysis approaches are presented in sequence for each aim by hypothesis for the experimental comparison only, as the pooled-group analyses have inferential limitations. Power was assessed using SamplePower 3.0 [73]....For hypothesis 1, the program is the unit of analysis, and DDCAT (fidelity) scores represent the dependent variable and the cohort assignment (NIATx vs. wait-list) is the independent variable. A two tailed analysis of covariance (α = 0.05) with 25 programs per cohort group will compare post- implementation mean fidelity scores between groups, with pre-implementation scores as the covariate. With a correlation between pre- and post- implementation DDCAT scores equal to 0.5, this analysis has power (β = .86) to detect a large effect. Prior research concerning one-year changes in DDCAT scores suggests that we can expect a large effect [62]....The date of the DDCAT assessment will serve as the index date for hypothesis 2 (Aim 2). All patients admitted to each program, 45 days before and 45 days after the DDCAT assessment date, will be extracted from the state administrative databases. The outcomes will be the proportion of program patients: 1) screened, 2) diagnosed, and 3) receiving integrated medication and psychosocial services, compared to ad hoc strategies (wait-list comparison sites). Each outcome has a value of 1 (yes) or 0 (no), and interest is in the difference in the rate of each outcome, accounting for the clustering of observations within sites. This analysis calls for a multi-level logistic regression model. The observations at each time point are independent, and therefore this is not a longitudinal (repeated measures) analysis. Instead, there are four independent groups (NIATx pre-implementation, NIATx post- implementation, wait-list pre-implementation, and wait-list post- implementation) in a 2 (group) by 2 (time) analysis, with primary interest in the group by time interaction. Due to the large number of observations, a logistic regression has power equal to 0.75 to detect a small effect (OR = 1.5; .10 difference in proportions) and power of 1.0 to detect a medium effect (OR = 2.33; .20 difference in proportions). These power estimates are based on standard logistic regression. We will apply a correction to the standard errors to adjust for the interclass correlation at the site level in order to avoid Type I errors due to the dependence of the clustered observations [74]....Aim 3 will evaluate variation in the extent of, and fidelity to, NIATx strategies. The specific hypothesis is that programs with more facilitating factors, evaluated using the CFIR Index dimensions, will be more likely to complete the NIATx protocol and to do so with greater participation and fidelity. The programs are the unit of analysis, and the primary predictor variable is the number of factors that support implementation. There are two dependent variables, a continuous variable indicating the proportion (%) of the 22 NIATx tasks completed (SIC) and a continuous variable indicating the degree of fidelity to the NIATx protocol (1 to 5-point scale). Multiple regression analyses will be used to evaluate both outcome variables. Characteristics of the sites that are associated with the outcomes will be added as covariates in the regression models in order to evaluate the effect of the CFIR Index dimensions (e.g., Perceptions of the System and Community Score) after controlling for other predictors. Power for the two-tailed multiple regression analysis (α = 0.05) across 50 programs, and 5% of the variance explained by the covariates, is 79% power to detect a change in R2 of 15 and 82% power to detect a change in R2 of 16%, when adding the primary predictor to the model....The economic cost analysis consists of two components. First, we will measure costs required to support participation in the implementation strategies (active and wait-list). In the second component, the cost analysis will examine potential changes in program finances (revenue and expenses) associated with delivering more integrated services. In contrast to the economic costs of integrating services, which includes costs not faced directly by the program are not part of any program’s operating budget, and thus savings to outside entities do not make interventions more feasible unless these savings are shared by the program. The cleanest and most comprehensive measure of the costs to a program providing integrated treatment is the pre-post (NIATx) change in total costs netting out any increased revenue, or adding in any loss in revenue, for the program. We will duplicate our successful earlier collection of costs, revenue, and admission information from each program [75]. For both study arms, we will collect archival cost information for two years before the intervention (pre-randomization) and two years from the start of the intervention implementation (post-randomization). Thus, the additional costs of NIATx will be the difference between the pre- post program change in costs and the pre-post control program change in costs. Change in costs will be calculated as: Pre-post change in costs = (Total Costs)post – (Total Costs)pre \- (Total Revenue)post –(Total Revenue)pre. The impact of improved integrated services could lead to additional (reflected as decreased costs) or lost (reflected as additional costs) revenues. By dividing each component by the number of admissions in that period, the net cost per admission can be derived. The economic analysis will identify important sustainability implications and could influence future stakeholder implementation decisions [76]....",Cluster,None (simple),Parallel ,Single factors,Superiority,No
31,Results,PMC6814122,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6814122/,"...The study described aims to address the following research questions: (1) Is NIATx effective in improving integrated services? and (2) Are there differences in organizations that actually use NIATx per-protocol versus those that do not?...In this study, the specific objectives included examination of the primary outcome, DDCAT Index, by conducting: (1) Intent-to-treat analyses by study arm; and (2) Per-protocol analyses by level of NIATx participation. We hypothesized that organizations in the active NIATx study arm would demonstrate greater gains in integrated service capacity, as measured by the DDCAT, compared to the waitlist group....The study employed a cluster randomized waitlist control group design to evaluate the effectiveness of NIATx in implementing integrated services for persons with co-occurring substance use and mental health disorders....The remaining 49 agencies were assigned at baseline to either the NIATx strategy (n = 25) or waitlist (n = 24) study arms....",Cluster,Not reported | None (simple),Parallel ,Single factors,Not reported,Yes
32,Protocol,PMC3045905,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3045905/,"...### Aims The primary objective of this study is to assess the two main components contributing to the individualized homeopathic acute phase (6 weeks) treatment of depression (moderate episode), i.e., to investigate the specific effect of individualized Q-potencies versus placebo and to investigate the effect of different forms of taking a homeopathic case history (case history type I and II). Secondary objectives will be to investigate short term effects (after two and four weeks), including differences between individualized Q-potencies and placebo as well as between the different techniques of homeopathic case history, and to assess the effect of individualized Q-potencies together with either form of case history. A safety evaluation will also be performed....A randomized, partially double-blind, placebo-controlled, four-armed trial using a 2 × 2 factorial design with a six week study duration per patient will be performed to test two different hypotheses: H0: homeopathic medicines = placebo (null hypothesis) vs. H1: homeopathic medicines ≠ placebo (alternative hypothesis) H0: homeopathic case history type I = case history type II (null hypothesis) vs.H1: homeopathic case history type I ≠ case history type II (alternative hypothesis)...A non-stratified block randomization with variable block lengths will be carried out, with a 2:1:1:2 ratio (aiming at exposing a smaller number of participants to placebo treatment) for group 1: group 2: group 3: group 4 (i.e. 76:38:38:76 patients). The randomization list was generated with SAS/BASE Software (SAS Inc., Cary NC, USA), by a statistician not further involved in the study....#### Sample size calculation For this study we assumed that the verum treatment is better than placebo by 2.7 ± 6.0 (mean ± standard deviation) HAM-D score points after 6 weeks (corresponding to a SMD = 0.45), that type II case history is better than type I by 2.7 ± 6.0 score points (SMD = 0.45), and that both effects do not interact. If so, a Bonferoni-adjusted F-Test (multiple significance level α = 0.05, two-sided) has a power of 83.5% to detect the difference between verum and placebo and a power of 85.0% to detect the difference in case history taking, if 68 patients are included in groups 1 and 3, and 34 patients are included in groups 2 and 4. This leads to a total number of 228 patients, if one allows for a 10%drop-out rate per group....",Individual persons ,Blocking,Parallel ,Complete factorial,Superiority,No
32,Results,PMC3781106,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3781106/,"...We investigated the 1) specific effect of individualized homeopathic Q-potencies compared to placebo and 2) the effects of an extensive homeopathic case taking (case history I) compared to a shorter, rather conventional one (case history II) in the acute treatment of major depression (moderate episode) after six weeks....A randomized, partially double-blind, placebo-controlled, four-armed trial using a 2×2 factorial design with a six week study duration per patient was performed....A block randomization with variable block lengths was carried out using a 2∶1∶2∶1 ratio (exposing a smaller number of participants to placebo) and placed in sequentially numbered, sealed opaque envelopes. The randomization list was generated with SAS/BASE Software (SAS Inc., Cary NC, USA) by a statistician not further involved in the study....Patients were interviewed and treated at the Integrative Medicine outpatient clinic (CHAMP) of the Charité – Universitätsmedizin Berlin, by a medical doctor specialized in homeopathy with 20 years experience in classical homeopathy....For this study we assumed that the verum treatment is better than placebo by 2.7±6.0 (mean ± standard deviation) HAM-D score points after 6 weeks (corresponding to a SMD = 0.45), that type II case history is better than type I by 2.7±6.0 score points (SMD = 0.45), and that both effects do not interact. If so, a Bonferoni-adjusted F-Test (multiple significance level a = 0.05, two- sided) has a power of 83.5% to detect the difference between verum and placebo and a power of 85.0% to detect the difference in case history taking, if 68 patients are included in groups 1 and 3, and 34 patients are included in groups 2 and 4. This led to a total number of 228 patients, if one allows for a 10%drop-out rate per group....",Individual persons ,Blocking,Parallel ,Complete factorial,Superiority,No
33,Protocol,PMC3192674,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3192674/,"...This study is a prospective randomized controlled trial and will be completed in Acupuncture Department of Guang'anmen Hospital affiliated to China Academy of Chinese Medical Sciences from Sep....Computer-made opaque sealed envelopes are numbered consecutively....Chapple and Hong-Jeng Yu [16,17], to detect a reduction in IPSS of 7 with a two-sided 5% significance level and a power of 90%, 50 patients will be needed for treatment group and control group respectively (1:1 allocation) allowing for a 20% dropout rate [18]....For primary and secondary outcome measures, analysis of covariance will be used to investigate whether BL33 acupuncture is more effective than non- acupoint acupuncture....The aim of this study is to investigate whether BL33 acupuncture is more effective than non-acupoint acupuncture, i.e. point specificity of BL33 for BPH....",Individual persons ,None (simple),Parallel ,Single factors,Superiority,No
33,Results,PMC3625218,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3625218/,"...In the present study, we aimed to evaluate the effects of EA on IPSS, PVR, and Qmax, and explore the difference between EA at acupoints and non-acupoints in patients with moderate to severe BPH....This was a randomized control trial which was performed at the Acupuncture Department of Guang An Men Hospital, China Academy of Chinese Medical Sciences....Therefore, in conjunction with methods and results of the studies by Chapple et al [23] and Yu et al [24], 50 patients will be needed for each group (1:1 allocation) in the present study to detect a seven point reduction in IPSS with a two-tailed significance level of 5% and a power of 90% while allowing for a 20% dropout rate. Sample size was calculated with a standard deviation (SD) of 2.30 as per reports in the epidemiology monograph by Wang [25]....",Individual persons ,None (simple),Parallel ,Single factors,Superiority,No
34,Protocol,PMC4676178,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4676178/,"...The trial described in this protocol seeks to build on the successful pilot study by testing whether the combined continence promotion intervention can diminish incontinence-related stigma and falls, and improve quality of life in addition to reducing urinary symptoms in older community-dwelling women with incontinence. This cluster randomized controlled trial, conducted internationally across the UK, France and Canada, will enable accrual of a larger sample of culturally diverse women in whom to test the continence promotion intervention....We hypothesize that, compared to the control group, receipt of the combined continence promotion intervention will result in a significant improvement in incontinence symptoms in at least 20 % of women, a reduction in falls of 30 %, an expected change of 4.74 points on the Incontinence Quality of Life Scale (I-QOL) and a gain in utility points on the 6 dimensional derivative of the 12-item Short Form Health Survey (SF-6D) of 0.0126, with which to calculate cost-effectiveness, cost-utility and gains in healthy active life expectancy (Fig. 1)....### Aim and study objectives This study aims to evaluate the effectiveness of a continence promotion program on incontinence symptoms, rate of falls, self-stigma and quality of life in community-dwelling women with incontinence. In addition, the study aims to evaluate the economic efficiency (incremental cost-effectiveness and cost-utility) of providing community-based group continence workshops to untreated older women with incontinence. The objectives are to: 1. Evaluate whether the continence promotion intervention yields significant improvement in incontinence symptoms at 1 year post intervention compared to the control group. 2. Examine the effects of a continence promotion intervention on self-stigma among women with untreated urinary incontinence. 3. Examine whether the receipt of a continence promotion intervention leads to a reduction in falls and fall-related injuries. 4. Investigate the effects on quality of life and ascertain the cost-effectiveness/cost-utility of the continence promotion program for senior community-dwelling women....The Continence Across Continents To Upend Stigma and Dependency (CACTUS-D) study is an open-label, two-arm, parallel group, multi-national cluster randomized controlled trial to be conducted across four sites....Using block randomization with an alternating block size of 2 or 4, we will randomly allocate clusters (via a 1:1 ratio and stratified by site) to the intervention or control group via a computer-generated random digit performed by an independent statistician (Fig. 2)....### Sample size The sample size calculations were not equivalent for all the co-primary outcomes of the study and, therefore, differ based on the various outcomes. We hypothesize that the sample size required to demonstrate the effectiveness of the continence promotion intervention will be sufficient as it is powered to detect a minimally clinical important difference of 20 % in the proportion of participants globally rating their improvement in urinary symptoms as “much better” or “very much better,” with an expected change in the control group of 6 % [39]. As the design is a cluster randomized trial, we need to adjust for both the clustering and the effect of unequal cluster sizes [40]. Based on the results from the pilot study [26], an estimated average cluster size of 4 participants and an intra-class correlation coefficient (ICC) of 0.02, we would require a minimum of 14 community organizations per arm (a minimum of 56 participants per arm) to be able to detect a difference of 20 %, with 80 % power and alpha 0.05. To account for attrition, which we estimate to be around 15 %, we decided to set the recruitment target to at least 100 participants per arm. The sample size needed for the falls outcome anticipates an average baseline fall rate per group of 30 % [26], and hypothesizes that the intervention will have an effect on the incidence rate of falls of 0.21 (30 % relative reduction). A minimum sample size of 388 per group (at least 97 community organizations per group) is needed to detect this minimally important difference with 80 % power, 5 % level of significance, an ICC of 0.02 and an average cluster size of 4. Sample size for the economic analysis was calculated using a mapping exercise to convert a minimally important difference on the I-QOL to the SF-12 to account for the possibility that the SF-12, a generic quality of life measure, may be insufficiently sensitive to reflect important differences in incontinence-related quality of life [39]. An improvement of 6.65 points on the I-QOL scale best matched an improvement (as much better or very much better) on the PGI-I, which we defined as a minimally important difference. Then, using a Monte Carlo simulation, we calculated that using this change cut-off, a detectable difference of 4.74 on the I-QOL between the intervention and control groups, would be statistically significant (at 0.05 alpha level) in at least 80 % of simulations when each group comprises at least 500 participants, representing a gain of 0.0126 in SF-6D utility scores. Taking into account the sample size calculation for all co-primary outcome measures, we therefore aim to recruit the participants according to the largest sample size that will be sufficient for sub-group analyses (n = 500 participants per group) – a total of 1000 participants....",Cluster,Stratification | Blocking,Parallel ,Single factors,Superiority,No
34,Results,PMC6593322,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6593322/,"...CACTUS-D sought to compare the long-term effectiveness of a community-based group continence promotion workshop against a control intervention on improvements in urinary incontinence symptoms among older women at 1-year follow-up....The trial design was a pragmatic, open-label, two-arm, international, multi- site cluster-randomised controlled trial [4]....Consenting organisations were randomised in a 1:1 ratio to a continence promotion or control intervention in permutated alternating block sizes of 2 or 4, stratified according to site. An independent statistician blindly allocated organisations using computer-generated stochastic digits....Sample size calculations for the primary outcome (an improvement in incontinence) were based on assumptions of a 26% improvement rate in the intervention group, and a 6% improvement in the control group (difference of 20% between the two trial arms) [14]. To detect this 20% difference with 80% power, at a 0.05 significant level, with an intracluster correlation of 0.05, unequal cluster size, and an expected attrition rate of up to 20%, we calculated 200 participants per site. With four sites, we estimated a sample size of 800 for the entire study, in order to have sufficient sample size to conduct sub-group analyses by site....An inflation factor of 1.65 was applied to account for potential correlation between individuals in the same cluster (i.e. anticipated intraclass correlation of 0.05), and the unequal cluster sizes (ranging from 8–16 individuals per cluster) [15]....",Cluster,Stratification | Blocking,Parallel ,Single factors,Superiority,No
35,Protocol,PMC3045306,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3045306/,"...The FONT trial (DK70341) is a combined Phase I/II project with an overall objective to identify promising new antifibrotic agents for further testing and distinguishing them from agents which are likely to be ineffective....### Specific Aims 1. To evaluate two novel therapies for resistant FSGS - adalimumab, a human anti-TNF-α antibody, and galactose - compared to standard conservative therapy; 2. To identify one or more novel agents as candidates for evaluation in a future Phase III RCT; and 3. To create and sustain an infrastructure for the timely completion of RCTs in patients with rare glomerular diseases like primary FSGS....• Reduction in proteinuria (expressed as the protein:creatinine ratio in a first morning urine specimen) at 6 months by ≥ 50% of the value at the time of screening, AND...FONT II will include a sample size of 42 patients in each of the three treatment arms, with a total sample size of 126 patients. Up to 53 patients may be enrolled in the galactose arm (137 total subjects) to ensure a subgroup of 42 with a Palb > 0.5....After the 6-month pause, the study will resume randomization until 42 patients (up to 53 patients may be enrolled in the galactose arm to ensure a subgroup of 42 with a Palb > 0.5) are accrued for each agent that passed the initial efficacy threshold....Taking p0 = 10% and p1 = 30% (designating a 20% improved response for a successful novel therapy), the two-stage procedure described above has Type I and Type II error rates of 2% and 10%, respectively....On the other hand, the 2-stage design has at least a 98% probability of proceeding to the second stage if the true response rate of either of the two initial experimental treatments is 30% or greater. The overall type I and II error rates of 2 and 10% indicate that for each treatment group, the proposed design has a probability of 2% of incorrectly designating a regimen with a 10% response rate as ""active"", and a probability of 90% of correctly designating a regimen with a 30% response rate as ""active""....This will insure that the treatment with the best response rate will be correctly selected with a probability of 85% if one of the treatments has a response rate ≥40% and all the remaining treatments have response rates no higher than 25%....The study protocol, design and consent forms have been approved by Institutional Review Board (IRB) at the two clinical coordinating centers - Cohen Children's Medical Center of New York and University of Michigan-CS Mott Children's Hospital - and 13 other participating sites (Nationwide Children's Hospital, Boston Children's Hospital, Oregon Health Sciences Center, Miami Children's Hospital, Carolinas Medical Center, Stollery Children's Hospital, Medical University of South Carolina, Emory University, Texas Tech University Health Sciences Center, Children's Mercy Hospital, University of Kansas, Mayo Clinic, and Cincinnati Children's Medical Center)....",Individual persons ,None (simple),Parallel ,Single factors,Exploratory ,Yes
35,Results,PMC4511259,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4511259/,"...In the absence of a defined molecular mechanism of disease, the overall objective was to assess antifibrotic agents that would decrease proteinuria and reduce glomerular sclerosis progression....A total of 42 subjects would have been assigned to each group (15 additional participants would have been enrolled in the galactose arm to ensure that 42 had a Palb > 0.5)....The study protocol, design and consent forms were approved by Institutional Review Board (IRB) at each participating site....",Individual persons ,None (simple),Not reported,Single factors,Not reported,Yes
36,Protocol,PMC3816245,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3816245/,"...The current SPIRIT-compliant17 protocol outlines the methodology of a randomised controlled trial (RCT) to establish the efficacy of our internet- delivered positive imagery CBM intervention for depression when compared with an active control condition (CBM control, see below). To establish the additive benefit of positive imagery CBM when delivered in combination with iCBT all patients will complete iCBT (the Sadness Program) following the 1-week CBM intervention (table 1)....The trial is a randomised controlled superiority trial with two parallel arms using a 1:1 allocation ratio. ### Hypotheses On the basis of previous findings7 16 we predict that patients randomised to positive imagery CBM will evidence significant reductions on primary measures of depressive symptoms (BDI-II, PHQ9) and interpretive bias (AST-D), and on a secondary measure of psychological distress (K10) following the 1-week CBM intervention. We predict superiority (as indexed by hedges g between-group comparisons) of positive imagery CBM over CBM Control on these measures. Further, we predict that patients randomised to the combined intervention group (CBM+iCBT) will evidence significant reductions in the measures of depression (BDI-II, PHQ9) and psychological distress (K10), as well as disability (WHODAS), repetitive negative thinking (RTQ) and anxiety (STAI) following completion of the combined programme. We further predict that benefits will be maintained at 3-month follow-up. We will also investigate the potential impact of baseline variables on treatment adherence, ratings of acceptability and therapeutic outcomes....The Clinical Research Unit for Anxiety and Depression (CRUfAD) is a not-for- profit joint initiative of St Vincent's Hospital and the University of New South Wales, School of Psychiatry in Sydney, Australia....Power calculations were informed by calculation of effect size data from Lang et al7 providing a between-group effect corresponding to Hedges’ g of 0.66. The minimum sample size for each group (α set at 0.05, power at 0.80) was identified as 29, but at least 10% more will be recruited to hedge against expected attrition....Eligible participants accepted into the programme will be randomised based on an allocation sequence generated by an independent person not involved in the study through a true randomisation process (http://www.random.org)....It will also attempt to replicate the initial successful application of imagery CBM delivered through the internet without face-to-face contact, and establish whether this is superior to a closely matched control version when delivered in this manner....",Individual persons ,None (simple),Parallel ,Single factors,Superiority,No
36,Results,PMC4407900,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4407900/,"...In the current RCT we aimed to carry out a more rigorous test of CBM via comparison to a closely-matched active control condition (i.e., exposed to identical intervention procedures minus one or more of the hypothesized active treatment ingredients; cf. Clarke et al., 2014b)....To test the additive benefit of positive imagery CBM when delivered in combination with iCBT, all patients completed an established iCBT program for depression following the 1-week CBM intervention. ### 1.1. Hypotheses We predicted that patients randomized to positive imagery CBM (positive condition) would evidence significant reductions on primary measures of depressive symptoms (PHQ9, BDI-II) and interpretive bias (AST-D), and on a secondary measure of psychological distress (K10) following the 1-week CBM intervention. We predicted superiority of positive imagery CBM over CBM control (control condition) on these measures following the 1-week intervention phase. We also predicted significant reductions on measures of depression (PHQ9, BDI-II,) and psychological distress (K10), as well as disability (WHODAS), repetitive negative thinking (RTQ), and anxiety (STAI) following completion of iCBT. Although we anticipated comparable outcomes following completion of iCBT, as the first study to investigate the potential additive benefit of positive imagery CBM prior to iCBT (relative to an active comparator), we tested for between-group superiority of the positive condition on measures of depression and distress following the combined intervention. Following a recent RCT in which a four-week positive imagery CBM intervention significantly reduced anhedonic symptoms of depression compared to an active control (in the absence of between-group differences for symptoms of depression as a whole (Blackwell et al., 2015)), we carried out post-hoc analyses to investigate whether we could also find significant benefits for anhedonia. Finally, we predicted that the within-group benefits would be maintained at 3-month follow-up....The minimum sample size for each group (alpha set at .05, power at .80) was identified as 29, following a power calculation using a between-group effect corresponding to Hedges׳s g of .66 (Lang et al., 2012), but an additional 10% was recruited to hedge against attrition. Recruitment was via the research arm of a not-for-profit clinical and research unit affiliated with St. Vincent׳s Hospital and the University of New South Wales, Australia that specializes in the development and evaluation of Internet-CBT....Eligible participants accepted into the study were randomized based on an allocation sequence generated by an independent person not involved in the study via a true randomization process (www.random.org)....",Individual persons ,None (simple),Parallel ,Single factors,Superiority,No
37,Protocol,PMC4235173,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4235173/,"...### Research objective Does working memory training result in improvements in cognition, speech perception and self-reported hearing abilities in adults with mild-to-moderate hearing loss who are existing hearing aid users, compared with an active control group (non-adaptive, placebo training)? ### Specific research hypotheses We hypothesise that: 1. Compared with the active control group, hearing aid users in the experimental group (adaptive working memory training) will have significant generalized improvements in untrained measures of cognition, speech perception and self-reported hearing abilities. Furthermore, these improvements will be significantly greater than for hearing aid users in the active control group who receive non-adaptive training....The study is a single-center, phase II, double-blind, randomized, active controlled trial, with minimized allocation of participants to one of two groups (Figure 1)....### Power analysis In order to detect a minimum improvement of 1.5 words (15%) in the primary outcome measure (Visual Letter Monitoring Task) based on 80% power, a 1-sided type I error rate of 5%, using a pooled standard deviation of 2.118 to derive the effect sizes, a total of 27 participants are required in each training group. We anticipate a participant attrition rate of no more than 15%, and therefore will recruit a total of 31 participants per group....Participants will be allocated either an ‘experimental’ or an ‘active control’ user ID to access the training URL by the chief investigator (HH) using Minim, a method of minimization [47]. Minimization will ensure balanced allocation to the experimental and active control groups based on participants’ age (younger = 50 to 62 years vs older = 63 to 74 years), sex (male, female), hearing amplification type (unilateral vs bilateral hearing aids) and low versus high working memory capacity (backwards digit span score <7 vs ≥7) at baseline....",Individual persons ,Adaptive,Parallel ,Single factors,Superiority,No
37,Results,PMC9007089,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9007089/,"...Given the wealth of published evidence for associations between speech-in- noise perception and working memory performance, and in line with predictions from the ELU model, which state that individuals with greater working memory capacity may be better able to resolve ambiguity, leading to better speech perception in degraded listening conditions (Rönnberg 2013; 2019; Zekveld et al. 2012), we aimed to examine whether improving domain-general working memory processes using core training could improve outcomes for adults with hearing loss who use hearing aids....#### Primary Hypotheses: Examining the Effectiveness of the Training Intervention Both Immediately and Over Time 1. Hearing aid users in the Experimental Group who receive adaptive Cogmed working memory training will demonstrate significantly improved performance for trained Cogmed tasks (on-task learning) and generalized improvements for untrained measures of cognition, speech perception and self-reported hearing abilities (transfer of learning). Furthermore, these improvements will be significantly greater than for hearing aid users in the active control group who receive nonadaptive training. 2. For participants in the Experimental group, any training-related improvements in untrained outcomes will be maintained 6-months post-training. #### Secondary Hypotheses: Assessing Individual Differences in On- and Off- Task Learning (for Participants in the Experimental Group Only) 1. On-task learning and post-training performance in untrained outcomes will be predicted by baseline working memory performance. 2. Post-training performance on untrained outcome measures will be predicted by pretraining outcome performance for those measures and the degree of on-task learning achieved during working memory training....A single-center, phase II, active-controlled RCT with participant and outcome assessor blinding, and minimized allocation (Scott et al. 2002) of participants to one of the two groups (adaptive training or nonadaptive training) according to: age (younger = 50 to 62 years/older = 63 to 74 years), sex (m/f), baseline working memory [Backward Digit Span, n trials correct (maximum = 14), low ≤6/high ≥7], and hearing aid use (unilateral/bilateral), with a 1:1 allocation. Group sizes were set with the goal to detect a minimum improvement of 1.5 words (15%) in the primary outcome measure (Visual Letter Monitoring [VLM] Task) based on 80% power and a 1-sided type I error rate of 5%. A pooled SD of 2.118 was used to derive the effect sizes and resulted in a total of 27 participants in each group. With an anticipated participant attrition rate of 15%, a total of 31 participants were recruited per group....",Individual persons ,Adaptive,Parallel ,Single factors,Superiority,No
38,Protocol,PMC3727984,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3727984/,"...The aim of our study is to examine whether an assisted reflection on contingent life events and ultimate life goals can improve cancer patients’ quality of life....This study primarily aims to answer the following question: does an assisted structured reflection on life events and ultimate life goals of cancer patients improve quality of life? To evaluate the effect of the structured reflection we will conduct a multicenter two-armed randomized non-blinded controlled trial....### Sample size calculation The primary aim of our study is to improve quality of life and spiritual wellbeing. We will conduct a mixed design measures ANOVA to detect differences between the control-group and the intervention-group over pre-, post- and follow-up measurement. To detect a small effect (effect size f = .10) with statistical power 80%, alpha 5%, and a correlation between repeated assessments of r = .63, we need a sample of 122 patients. With an expected drop out of 20%, we will include 153 patients....Randomization will be performed on-line via a secure internet facility in a 1:1 ratio by the TENALEA Clinical Trial Data Management System using randomly permuted blocks with maximum block size 4 within strata formed by nine spiritual counsellors....Seven hospitals accepted the invitation to join the study....This study will be conducted as a multicentre study, involving academic as well as peripheral hospitals....",Individual persons ,Stratification | Blocking,Parallel ,Single factors,Unclear,No
38,Results,PMC6529670,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6529670/,"...Here, we investigated the effect of this newly developed spiritual counselor-assisted structured interview on quality of life (QoL) and spiritual well-being (SWB) of cancer patients.23...This randomized controlled trial (RCT) also gives us the opportunity to explore the relationship between SWB and QoL in our study population....Patients from six different hospitals were recruited, including two academic hospitals and one categorical hospital....Randomization was performed online via a secure Internet facility in a 1:1 ratio by the TENALEA Clinical Trial Data Management System using randomly permuted blocks with maximum block size 4 within strata formed by seven spiritual counselors....The sample size was calculated using the software G*Power with the aim to detect a small clinical significant effect (effect size f = 0.10) on the main outcome overall QoL.32,33 The desired statistical power is 80%, with a two- side significance of 5%, standard deviation of 25.6, mean of 56.3, and the correlation between repeated assessments of r = 0.63.34,35 We expected a drop out of 20%, therefore a sample of 153 patients was needed.36...",Individual persons ,Stratification | Blocking,Parallel ,Single factors,Unclear,No
