PairID,Protocol/Results,PMCID,Link,Text,Handling missing data (check all that were reported),Used full article
6,Protocol,PMC3751729,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3751729/,"...The intention-to-treat (ITT) population, consisting of all subject randomly assigned to the competitive treatment strategies, will be used for the analysis of primary and secondary outcomes. Patients with missing values and patients lost during follow-up will contribute to the analysis of the primary and secondary outcomes only for the time during which data are available (censoring). Missing values in depressive symptom ratings will be imputed using the last observation carried forward (LOCF) approach: depressive ratings will be carried forward from the last available assessment to the 12-month follow up assessment. Additionally, patients in each arm will be always analysed according to the corresponding treatment group’s allocation at baseline. In order to check the consistency of this ITT approach, the primary outcome will then be analysed using a per-protocol (PP) approach....",Complete case  | Single imputation,No
6,Results,PMC4210495,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4210495/,"...All randomized subjects with at least one post-baseline assessment were considered in the analysis of primary and secondary outcomes. Patients with missing values and lost during follow-up contributed to the analysis of the primary and secondary outcomes only for the time during which data are available (censoring). Missing values in depressive symptom ratings were imputed using the last observation carried forward (LOCF) approach: depressive ratings were carried forward from the last available assessment to the 12-month follow up assessment. Additionally, patients in each arm were always analysed according to the corresponding treatment group’s allocation at baseline....",Complete case  | Single imputation,No
7,Protocol,PMC6311046,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6311046/,...All participants will be analysed on an intention to treat basis....,Not reported,Yes
7,Results,PMC6537555,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6537555/,...All participants were analysed on an intention to treat basis....,Not reported,Yes
8,Protocol,PMC4219009,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4219009/,...All study analyses will be on an intention-to-treat basis....,Not reported,Yes
8,Results,PMC5732507,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5732507/,"...To handle with missing cases, multiple imputation was used [33]....Therefore, we used baseline demographic variables as covariates when conducting imputation technique (see Table 1). Results were averaged across ten imputed data sets [33, 36]....The principle of the statistical analysis was intention to treat....",Multiple imputation ,No
9,Protocol,PMC3297520,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3297520/,"...The data will be analyzed for all of the subjects who had been randomly assigned to a group, excluding those who provided only baseline information. An intention-to-treat and per-protocol analysis will be performed....Subjects whose compliance with the KRG extract capsules is ≤ 70% of the total dose will be considered to have dropped-out....",Not reported,Yes
9,Results,PMC3524425,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3524425/,"...The efficacy analysis was done only with subjects who completed the study (per protocol, PP group), whereas the frequency rate of ARI was done using the Fisher's exact test. Symptom duration and score were analyzed with the Mann Whitney U test and Fisher's exact test. The safety assessment was also done only with subjects that completed the study (per protocol, PP group), and the analysis between the two groups were done using the Mann Whitney U test and Fisher's exact test....",Complete case ,No
10,Protocol,PMC3898142,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3898142/,"...Primary and secondary endpoints will be analyzed for the intent-to-treat (ITT) population, which consists of all randomized patients who have a baseline and at least one post-baseline assessment. Only the primary endpoint will be analyzed for the per protocol (PP) population, which consists of all randomized patients from the ITT population who complete the study without major protocol violations and who are compliant with the SMBG regimen (i.e., for participant in the ISM group at least 80% of the expected structured capillary glucose measurements; for the AC group <200 unstructured discretionary capillary glucose measurements)....Taking into account that maximum likelihood estimates have less bias than single imputation methods (e.g., LOCF) for missing informative and are, by definition, unbiased under a missing completely at random (MCAR) and a missing at random (MAR) mechanism of “missingness,” the mixed linear model described above represents an ideal choice for handling missing data and correcting for the bias potentially caused by drop-out participants in this study [51]....",Mixed effects ,No
10,Results,PMC3781531,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3781531/,"...Primary and secondary end points were analyzed on an intent-to-treat (ITT) basis including all randomized patients. Primary and secondary end points also were analyzed in the per protocol (PP) population, consisting of all randomized patients who completed the study without major protocol violations and were compliant with the SMBG regimen (i.e., ≥80% of the required SMBG measurements in the ISM group and ≤200 unstructured discretionary SMBG measurements in the AC group, the maximum measurements recommended for these patients by the Italian Standards of diabetes care) (29)....Missing data were filled in by multiple imputation assuming a missing at-random mechanism of dropout. The Monte Carlo Markov Chain technique implemented in SAS Proc MI was used to obtain 50 imputed datasets. Rubin rules implemented in SAS Proc MIANALYZE were used to combine effect estimates and to estimate 95% CIs to allow for uncertainty attributable to missing data. For the post hoc analysis, the last observation carried forward technique was used to complete missing values for patients who did not complete the study....",Multiple imputation  | Single imputation,No
11,Protocol,PMC6112404,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6112404/,...We will use the intention-to-treat principle for all analyses....Missing data will be treated as such; supplementary sensitivity analyses making use of imputed values under the missing at random assumption will be conducted for the primary analysis if more than 5% of expected data points will be missing....,Not reported,Yes
11,Results,PMC9047644,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9047644/,"...All analyses followed the intention-to-treat principle. Moreover, the main analyses of the primary outcome were repeated imputing missing 2-year AVC scores by multiple imputation including baseline characteristics as covariates....",Multiple imputation ,No
12,Protocol,PMC5153683,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5153683/,"...Because this may lead to biased parameter estimates for our models, we will identify missing data patterns and use pattern-mixture modeling to test the sensitivity of our longitudinal intervention analysis to missing data assumptions [74–77] and conduct other sensitivity analyses after imputing missing data with a range of clinically plausible values based on explicit assumptions for the missing data (e.g., best-case, worst-case; with and without multiple imputation) [78–80]....Standard intention-to-treat (ITT) estimates the average treatment effect by comparing outcomes based on assignment to treatment, but ignoring use of the treatment. Because ITT estimates do not represent treatment efficacy under noncompliance (e.g., a patient is randomized to A-CHESS but does not use the system), we will address noncompliance by also estimating treatment effects only for compliers using as-treated, per-protocol [81], and CACE (Complier Average Causal Effect) [82]....",Multiple imputation  | Other | Complete case ,No
12,Results,PMC7939944,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7939944/,"...Participants with no reported HCV test who were lost to follow-up were censored at the time of their last quarterly interview, and those who did not receive an HCV test and completed the 24-month interview were administratively censored....Participants were determined to have injected drugs or shared injection equipment if they reported previously (past 4 months) conducting the behavior on the survey, or any survey before, in which they reported HCV testing or were censored....An intention-to-treat approach was used....",Not reported,Yes
13,Protocol,PMC4025413,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4025413/,"...Primary analysis will be based on a modified intention to treat analysis set, containing all patients who received a stent and have at least one FMD measurement during follow-up....The use of a mixed model is among the methods to cope with missing data recommended by the EMA guideline on missing data in confirmatory clinical trials....",Mixed effects ,No
13,Results,PMC8710519,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8710519/,"...Per protocol, the efficacy analysis was based on a modified intention to treat analysis set, containing all patients who received at least one stent and had at least one PORH measurement during follow up....",Not reported,Yes
14,Protocol,PMC4446829,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4446829/,"...Statistical analyses will be conducted on an intention-to-treat basis, but secondary analyses will be performed, including only those considered adherent to the protocol....",Not reported,Yes
14,Results,PMC5741924,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5741924/,"...To be considered adherent to the intervention, women must have attended at least 34 of 48 (70%) of the prescribed workout sessions....Statistical analyses were conducted primarily on intention-to-treat (ITT) basis and per protocol analyses were also performed including only those adhering to the protocol (at least 34/48 (70%) sessions attended)....ITT: Intention-to-threat analysis....Maternal characteristics at baseline for the participants included in the intention-to-treat analysis for the preterm birth analyses in the intervention group and control group; PAMELA study....Maternal characteristics at baseline for the participants included in the intention-to-treat analysis for the preterm birth in the intervention group and control group; PAMELA study....",Not reported,Yes
15,Protocol,PMC3973868,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3973868/,...Analysis of effectiveness will be made followed by the intention to treat analysis....,Not reported,Yes
15,Results,PMC8296136,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8296136/,,Not reported,No
16,Protocol,PMC5379660,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5379660/,"...Withdrawals from the trial and from the allocated treatment will be included in the analysis by intention-to-treat....SPSS 21.0 will be used to enter quantitative data and cleaning the data and to carry out missing values imputation and statistical analysis....Analyses will be performed on an intention-to-treat basis....We will use imputation methods for missing data, analysis of uncertainty and non-normal distributions: i.e. standard statistical analysis of costs will be performed to test for statistical significance of results, while bootstrapping would be performed to estimate the CI of average interventional costs....",Multiple imputation ,No
16,Results,PMC9380327,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9380327/,"...Data of four were removed following their withdrawal from the study (1 in the nicotine- containing, 1 in the nicotine-free, 2 in the NRT group)....Participants were included whether they stopped smoking or not....Data were analyzed in SPSS 24 (IBM U.K. Limited, Hampshire, UK) on an intention-to-treat basis, using the “last observation carried forward” method for those participants that had no data for the 3- and 6-month follow-ups, respectively....A separate analysis using mixed effect models repeat measurement (MMRM) was completed after using multiple imputation for missing values for four outcome variables at 3- and 6- month follow-ups; findings did not differ to those obtained through the GEE modeling....",Single imputation | Multiple imputation ,No
17,Protocol,PMC3481366,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3481366/,"...· Data collected up to the point of withdrawal will be used in an intention- to-treat analysis....The main analyses will compare all those allocated TXA versus those allocated placebo, on an ‘intention-to-treat’ basis, irrespective of whether they received the allocated treatment or not....",Not reported,Yes
17,Results,PMC6853170,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6853170/,...All analyses were on an intention-to-treat basis....We did a complete case analysis with no imputation for missing data....,Complete case ,No
18,Protocol,PMC4570710,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4570710/,,Not reported,No
18,Results,PMC5466913,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5466913/,"...In the absence of baseline data for these infants, time spent fussing and colicky crying were considered to represent missing data at IW1, IW2 and FU (tables 2 and 3)....",Not reported,Yes
19,Protocol,PMC5859815,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5859815/,"...Primary analysis will be conducted based on intention to treat. Analysis of incidence data will be independent and based on cluster IRS allocation, regardless of household refusal/acceptance of spray....Additional per-protocol analysis will be adjusted by net usage, net integrity and washes, as well as ecological, sociological and economic variables in the active cohort....",Not reported,Yes
19,Results,PMC7877039,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7877039/,"...Primary analysis was done on intention-to-treat, assuming that all individuals living in an IRS cluster received IRS in their household....Sensitivity analyses and additional per protocol analysis adjustments were done considering ITN ownership and usage, household socioeconomic status, and cluster size (as defined by number of households)....",Not reported,Yes
20,Protocol,PMC4710982,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4710982/,"...The primary analysis of outcomes will be a modified per protocol analysis comparing hazards of treatment failure with 95 % confidence intervals in the placebo arm with hazards in the amoxicillin arm. In order for an enrolled child to be included in the modified per protocol analysis, s/he must have received 5 out of 6 doses, including 4 doses in the first two days....Intention to treat analysis will also be performed for comparison....",Not reported,Yes
20,Results,PMC7244232,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7244232/,"...Children missing ≥ 2 doses including any of the first four doses were considered ineligible for per protocol analysis....Treatment adherence was defined as follows: per protocol status (taking 5/6 or 6/6 doses by day 3) or adherence to the time of treatment failure if it occurred within 3 days with no other treatment....For the analysis of primary outcome which was per-protocol, unadjusted proportions and risk difference of treatment failure (TFplacebo- TFamoxicillin) with one sided 95% CI was estimated as per standard for NI trials....Both per-protocol and intention-to-treat analysis were done....There was one protocol deviation that was not included in the analysis....",Complete case ,No
21,Protocol,PMC3406972,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3406972/,"...Analysis of each of these three definitions will follow an intent-to-treat approach; that is, enrolled women will be included in the analysis according to their cluster allocation, regardless of their specific receipt (or non- receipt) of the assigned intervention....",Not reported,Yes
21,Results,PMC3794862,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3794862/,"...Two additional CHO catchment areas were selected to replace non-compliant CHOs both of which were in the oxytocin group, following the single interim meeting of the Data Safety and Monitoring Board in December 2011....The denominator for PPH-1 and PPH-2 was all enrolled women with a quantitative blood-loss measure....The denominator for PPH-3 is all enrolled women....Analysis of primary and secondary outcomes was conducted following an intent- to-treat approach....",Not reported,Yes
22,Protocol,PMC7745514,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7745514/,...This will be an intention-to-treat analysis.107 108...Last observation carried forward will be used to compensate for missing data....,Single imputation,No
22,Results,PMC8852666,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8852666/,...This study used an intention-to-treat analysis.72...The last observation carried forward method was used to compensate for missing data....,Single imputation,No
23,Protocol,PMC3345610,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3345610/,"...Furthermore, the analysis of mixed effect models enables to handle missing data as well as the integration of time-varying factors, such as cervical dilatation, which are issues in the present study....",Mixed effects ,No
23,Results,PMC4055800,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4055800/,"...Analyses of the primary outcome were according to intention to treat (ITT) and per protocol (PP). The ITT analysis included all women randomised whereas the PP analysis excluded women who were randomised despite them not fulfilling inclusion criteria (MA n = 3; EA n = 5; SC n = 8), or who did not receive the interventions as planned (MA n = 16; EA n = 30; see Figure 1)....",Not reported,Yes
24,Protocol,PMC5935890,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5935890/,"...The statistical analysis of all primary health outcomes in the study will be done on an intention-to-treat basis....Analysis of secondary outcomes from the intensive data collection households will be conducted on an intention to treat basis, with per protocol sensitivity analyses....",Not reported,Yes
24,Results,PMC6546207,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6546207/,,Not reported,No
25,Protocol,PMC3651718,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3651718/,"...Once a patient is assigned, due to the intention-to-treat design of the study, the change of protocol arm is not possible for any reason....Statistical analysis will be conducted on an intention-to-treat basis, due to the potential high violation rate from the assigned protocol. A ‘per-protocol’ planned analysis will be conducted, excluding patients receiving no analgesic or sedative drugs, having an ICU stay < 48 h, or presenting assigned protocol violations in every ICU day....For the other data, missing observations will be handled with multiple imputations as calculated by the statistical package Stata 12 (Stata Corporation, College Station, TX, USA)....",Multiple imputation ,No
25,Results,PMC6323792,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6323792/,"...An intention-to-treat statistical approach was planned, because the violation rate was unpredictable a priori....There were no missing data on the main outcome, as the centralized website needed these data to be completed before allowing the validation of each patient’s recordings....",No missing data ,No
26,Protocol,PMC5857085,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5857085/,...Any missing data will be treated as “missing at random” and accounted with the mixed effect model....,Mixed effects ,No
26,Results,PMC7038903,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7038903/,,Not reported,No
27,Protocol,PMC6893558,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6893558/,"...All analyses will be performed using intention-to-treat. For the main analysis, we will use multiple imputation for missing data. Similar to prior work [16,19], for missing step data, including values less than 1000 steps per day, we will perform 5 sets of imputations, and results will be combined using Rubin’s standard rules [38]. We will perform sensitivity analyses using available data without imputation....",Multiple imputation  | Complete case ,No
27,Results,PMC8144928,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8144928/,"...All randomly assigned participants were included in the intention-to-treat analysis....For the prespecified main analysis, we used multiple imputation for missing data as in previous studies.18,23,24,25,26,27 Five imputations were conducted using the mice package in R, version 3.4.0 (R Foundation for Statistical Computing), which allows for participant random effects with this data structure.39...Results were combined using Rubin’s standard rules.41 This imputation approach has been used in previous work.18,23 Sensitivity analyses were conducted using collected data without multiple imputation....",Multiple imputation  | Complete case ,No
28,Protocol,PMC5832903,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5832903/,"...Intent-to-treat analysis will be used to assess the effect of the intervention by treating all eligible patients enrolled in the P2E2T2 program, regardless of intervention completion....",Not reported,Yes
28,Results,PMC7076411,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7076411/,"...This was an intention-to-treat analysis with the assumption that any dropouts were missing at random....We adopted a mixed effects maximum likelihood model that accounts for the missing data from the participants who dropped out from the study....We included all participants, regardless of intervention completion, in the intention-to-treat analysis....",Mixed effects ,No
29,Protocol,PMC3061925,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3061925/,"...The primary analysis will be by intention to treat (ITT). A per-protocol (PP) analysis will exclude patients deemed to have major protocol deviations but include minor deviations, where major and minor deviations are pre-specified prior to recruitment....",Not reported,Yes
29,Results,PMC3894173,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3894173/,"...Interim analyses were based on day 30 cure in the Intention-to-Treat (ITT) population....Cumulative data for each treatment regimen were used to calculate the percentage of patients cured, with exact binomial 95% confidence intervals (CI), at day 30 and 6 months follow-up in ITT and per-protocol (PP) analysis populations. Patients with missing outcome data were excluded from analyses....",Complete case ,No
30,Protocol,PMC3148988,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3148988/,"...The principal analysis will be done on an intention-to-treat basis; outcome measures will be analyzed according to the treatment arm to which patients are randomized regardless of subsequent crossover or non-adherence. To model the outcome variables over time, we will use a linear mixed effects model [39]....",Mixed effects ,No
30,Results,PMC4961392,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4961392/,"...The trial and the principal analyses were based on intention to treat....We also performed, as described in the original protocol, per protocol analyses including only the women in the exercise group who adhered to the exercise protocol [23]....Per protocol analyses [23] including only the women in the exercise group who adhered to the exercise protocol were performed on both primary and secondary outcomes. Adherence to the exercise protocol was defined as (1) attending ≥ 42 organized exercise sessions, (2) attending ≥ 28 exercise sessions + performing ≥ 28 home exercise sessions, or (3) performing ≥ 60 home exercise sessions....",Not reported,Yes
31,Protocol,PMC5994046,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5994046/,,Not reported,No
31,Results,PMC6814122,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6814122/,"...In this study, the specific objectives included examination of the primary outcome, DDCAT Index, by conducting: (1) Intent-to-treat analyses by study arm; and (2) Per-protocol analyses by level of NIATx participation....Initial comparisons included assessment of the estimated trajectories across study arms as randomized (intent-to-treat). In subsequent secondary per- protocol analyses, we compared the two study arms after excluding organizations that were assigned to the NIATx strategy study arm but did not meet the criteria for full participation in NIATx strategies....Based on these factors, per protocol was defined as organizations in the NIATx strategy group with full adherence (i.e., values above or equal to the average across all three categories) versus organizations in the waitlist group....Given that per-protocol comparisons do not compare groups as randomized, a causal approach known as complier average causal effect (CACE) [42–45] estimation was also employed as a way of sensitivity analysis....",Other | Unclear ,No
32,Protocol,PMC3045905,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3045905/,"...Statistical analysis will be by intention-to-treat, including all patients randomized, regardless whether or not they adhered to the treatment protocol or provided complete data sets. Only patients who withdraw their consent to use their personal data can be excluded from the analysis....",Unclear ,Yes
32,Results,PMC3781106,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3781106/,"...Sensitivity analyses included a.) monotonic transformations of the outcome parameters (Box-Cox transformations), b.) adding various covariates to the model (sex, age, duration of disease, seasons when treatment took place, etc.), c.) changing the study populations (intention-to-treat, per-protocol, complete cases, etc.), and d.) use of alternative covariance matrices (autoregressive, uncorrelated)....",Not reported,Yes
33,Protocol,PMC3192674,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3192674/,"...The data analysis of baseline characteristics is based on the intention-to-treat (ITT) population (data of all participants who are randomized will be analyzed)....In addition, the data analysis of the primary outcome is also based on per-protocol (PP) population as a supportive analysis....",Not reported,Yes
33,Results,PMC3625218,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3625218/,"...Data analysis of baseline characteristics was based on the intention-to-treat (ITT) population which included all participants who were randomized. Primary and secondary outcomes were mainly based on the data of the ITT population; however, primary outcome was also analyzed based on per-protocol (PP) population as an extra supportive analysis....",Not reported,Yes
34,Protocol,PMC4676178,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4676178/,"...All analyses will be done on an intention-to-treat basis....As a sensitivity analysis, we will repeat the analysis on a per protocol basis that will include participants who adhered to the protocol and follow-ups....",Not reported,Yes
34,Results,PMC6593322,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6593322/,"...All analyses were conducted on an intent-to-treat basis....Partially missing SF-12 data at a given time were imputed using a missing-at-random Bayesian model, which has been reported and validated [13]....",Multiple imputation ,No
35,Protocol,PMC3045306,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3045306/,...The composite primary outcome will be assessed in all patients enrolled in the trial and who are randomized to one of the three study treatments....,Not reported,Yes
35,Results,PMC4511259,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4511259/,,Not reported,No
36,Protocol,PMC3816245,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3816245/,...ITT mixed models using restricted maximum likelihood (REML) estimation will be used to account for missing data due to participant drop-outs without assuming that the last measurement is stable (the last observation carried forward assumption.43...Complete-case analyses of the primary hypotheses using data from participants who complete all seven sessions of the CBM programme will also be conducted....,Mixed effects  | Complete case ,No
36,Results,PMC4407900,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4407900/,...Efficacy analyses were conducted via mixed modeling using restricted maximum likelihood (REML) estimation....Per protocol analyses of the primary hypotheses using data from participants who completed all 7 sessions of the CBM program were also conducted....,Mixed effects  | Not reported,No
37,Protocol,PMC4235173,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4235173/,...Missing data will be accounted for using a method of multiple imputation (replaced with plausible values based on Monte Carlo-simulated data points from the data set)....,Multiple imputation ,No
37,Results,PMC9007089,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9007089/,"...A total of 57 participants completed the trial and their data were included in all subsequent analyses (Fig. 2)....For instances where, for a particular variable, data from less than three individuals were missing, plausible values were imputed on an individual basis and complete case analyses were run to assess the effect of imputation on statistical group results. Imputed values were determined by one of the following methods: when the data point for T2 was missing but T1 present, the T1 data point was substituted as the most realistic value. If the data point was missing from T3 or T4, the mean of the individual’s remaining data points (T2 and T3 for missing T4, or T2 and T4 for missing T3) was calculated and imputed as most plausible value....Finally, for cases where data from three or more individuals was missing for a particular variable, data were imputed using Multiple Imputation by Chained Equation (van Buuren & Groothuis- Oudshoorn 2011)....As such, all secondary analyses were completed using observed data only (without imputation)....",Complete case  | Single imputation | Multiple imputation ,No
38,Protocol,PMC3727984,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3727984/,,Not reported,No
38,Results,PMC6529670,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6529670/,"...Missing data were imputed if more than 50% of the item responses within a scale was present and only case by case if there was a credible reason to believe that the data could be imputed by the mean of the questionnaire....Missing data were imputed with the mean in all questionnaires, except for the questionnaire on images of god, because more than 50% of the item responses within a scale was absent so they remained missing....",Single imputation,No
39,Protocol,PMC5826976,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5826976/,"...Also, to account for dropout, the protocol also allows the addition of patients to replace those who dropout due to a condition/illness that prevents them from participating in the trial during the run-in period....",Not reported,Yes
39,Results,PMC8660785,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8660785/,...An intention-to-treat analysis was used to determine the effects of each intervention compared to control and to compare the two active interventions (MyCoach and SmartText)....Missing person-days were imputed with the average steps from the valid person-days....,Single imputation,No
40,Protocol,PMC6452278,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6452278/,"...We will employ likelihood–based methods that utilize all available data, adjusting for covariates that are associated with missingness. If missingness is nonignorable we will employ pattern mixture models [100]. Sensitivity analyses will be carried out using multiple imputation approaches....For the primary comparisons, we will employ intent-to-treat analyses, although we expect few or none of the randomized patients to not complete an exercise....",Other | Multiple imputation ,No
40,Results,PMC8678693,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8678693/,"...Using intention-to-treat principles, the primary analysis was at the patient level using generalized linear mixed-effects models that assessed adherence over time by study group and patient race....We used full conditional likelihood–based methods (generalized linear mixed models) that used all available data and adjusted for covariates that were associated with missingness in the final models.26,27,28...",Mixed effects ,No
