PairID,Protocol/Results,PMCID,Link,Text,Intervention protocol (treatment manual) availability,Used full article
25,Protocol,PMC3651718,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3651718/,"...The Enteral vs. Intravenous Italian Trial (SedaEN) is a randomized, controlled, multicenter, single-blind trial (clinicaltrials.gov # NCT01360346), which aims to compare the efficacy of two different clinical approaches for sedative therapies (Figure 2): in the control group propofol and midazolam are continuously administered through intravenous route with daily interruption [8]. In the intervention group, sedation is maintained through enteral hydroxyzine, with possible supplementation of enteral lorazepam [24]; enteral melatonin will be administered as a physiological hypnoinducer [27]....Figure 2 Study protocol....Both protocols are tailored to deliver the lowest effective doses of sedatives in order to reach as soon as possible and constantly maintain the target sedation level (RASS = 0) [14]. Moreover, ICU teams should try, whenever possible, to reduce or suspend all the sedative drugs. Physicians reconsider their target at every shift: if they choose a deep sedation goal (RASS < −3), their decision must be adequately justified....In the control arm of the study (‘intravenous’), propofol or midazolam (maximum: propofol 6 mg/kg*h; midazolam 0.2 mg/kg*h) are continuously administered intravenously from ICU admission until discharge, with daily interruption [8]....Figure 4 Control arm: intravenous sedation, based on literature evidence[[2],[8]]. In the intervention arm (‘enteral’), intravenous sedatives are allowed during the first 48 h after ICU admission, in association with enteral sedatives....However, any continuous infusion must be stopped within 48 h. Sedation will be maintained through enteral hydroxyzine (maximum 600 mg/die) with the possible supplementation of lorazepam (maximum 16 mg/die). Enteral melatonin is administered from ICU admission until discharge, 3 mg b.i.d. (20:00 and midnight)....Figure 5 Intervention arm: enteral sedation....Figure 6 Bedside flowchart for pain management in ICU patients. Figure 7 Bedside flowchart for sedation/agitation management in ICU patients. Figure 8 Bedside flowchart for delirium management in ICU patients....Figure 9 Post-pyloric access: guide-wired nasojejunal tube positioned under fluoroscopy....",Not reported,Yes
25,Results,PMC6323792,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6323792/,"...In the control group, propofol or midazolam were given by IV infusion. In the intervention group, melatonin, hydroxyzine, and possibly lorazepam were administered enterally, while IV drugs were allowed during the first 48 h on ICU [25]....",Not reported,No
26,Protocol,PMC5857085,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5857085/,"...## RUSF formulation The RUSF has been formulated and produced locally, using local inputs. Small freshwater fish were cleaned, dried, roasted and ground. Soy and mung beans were roasted and ground, then mixed with the fish and coconut. This mix was extruded, then combined with multiple micronutrient premix (DMS), icing sugar, maltodextrin and canola oil to create the RUSF paste. Wafers were hand-made from rice flour, eggs, water, sugar, salt and coconut with small amounts of vanilla or sesame seeds for added flavour. The wafer is a hollow cylinder between 8.5-9 cm long with an internal diameter of 0.4–0.5 cm. Such wafers, unfilled, are a popular Cambodian snack. The ingredients of the RUSF are detailed in Table 1. ### Table 1 Ingredients of RUSF snack (paste and wafer) Although there are no definitive guidelines for supplementary foods, the RUSF was developed with the recommended guidelines for the nutritional composition of RUTFs in mind [31]. RUTFs should provide 520-550 kcal/100 g with 10–12% and 45–60% of the total energy coming from proteins and lipids respectively. Our RUSF contains 484 kcal/100 g, with 11% and 45% of the total energy coming from proteins and lipids respectively. The energy content of the paste is 499 kcal/100 g. The wafer, filled with the RUSF paste, yields a final snack weighing approximately 10-11 g, including 7 g of paste and 3-4 g of wafer, with an energy content of approximately 48 kcal/piece. All processing has been conducted in quality-certified facilities. The novel RUSF will be tested for microbiological safety (first five batches and every fifth batch thereafter) at the Pasteur Institute in Phnom Penh....### Comparators The RUSF will be compared with: 1. CSB++: CSB++ has been chosen as a comparator because it is currently the standard supplementary food. WFP usually provides CSB++ for children aged six months to two years to prevent malnutrition. 2. Sprinkles: Sprinkles micronutrient powders have been chosen since they are a commonly provided supplement in developing countries, such as Cambodia, with low dietary diversity, and complementary foods with low nutrient density [34]. 3. Control: An unsupplemented diet, typically borbor and family foods, has been chosen as a control because this is the standard diet in Cambodia. Borbor is the traditional food for weanlings (children transitioning from exclusively milk diets to diets that include complementary foods) and is often the only food given until about nine months. The active comparators comply with WFP and UNICEF standards for supplementary foods, and have been used and tested in Cambodia and elsewhere [18, 33, 35]. They have been found to be safe and to have no unintended side-effects. The table below contrasts the characteristics of the RUSF and comparators (Table 2). ### Table 2 Characteristics of the RUSF and comparators The potential comparators that will not be used are BP100 (because it is designed to treat severe acute malnutrition) and peanut-based RUSFs. The latter will not be included because they are thought to be less acceptable, and are too expensive from current producers. Moreover, including peanuts in a locally produced Cambodian RUSF is not advisable as local production standards may not be adequate to safeguard against aflatoxin contamination, given that the rate of aflatoxin contamination of peanuts in South-East Asia is probably quite high [36–38]....Participants in the intervention groups will then be provided with a one-month supply of the food to which their site has been allocated. Thereafter, participants will be provided with food on a monthly basis, and they will continue to consume the food over a six-month period....",Not reported,Yes
26,Results,PMC7038903,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7038903/,"...### 2.2. RUSF formulation The RUSF was based on the recommended nutritional guidelines for ready‐to‐use therapeutic foods (Dewey, 2009; FAO/WHO, 2016). It was produced locally, using local ingredients including small freshwater fish, soy, mung beans and coconut. The RUSF paste was piped into hollow, cylindrical wafers which are a popular Cambodian snack. All processing was conducted in certified facilities, and microbiological safety testing was conducted regularly. The ingredients of the RUSF and the comparators are detailed in Tables A1 and A2, and in the acceptability and effectiveness protocols (Borg et al., 2017; Borg et al., 2018). The RUSF was provided as a medium quantity supplementary food, that is, providing 50‐100% of the child's daily energy requirements (i.e. 250 to 500 kcal) excluding breastfeeding (Gera, Pena‐Rosas, Boy‐Mena, & Sachdev, 2017). This was 40‐110g of RUSF per day, depending on the child's age. The nutrient profiles of all the supplements were similar in terms of multiple micronutrients. The RUSF and CSB++ were similar in terms of energy, protein, carbohydrate, and lipid content....Participants in the intervention groups were provided with a 1‐month supply of the food or supplement to which their site had been allocated....Health promotion messaging was not an explicit part of the project....",Not reported,No
27,Protocol,PMC6893558,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6893558/,"...Participants were randomly assigned to the control arm or 1 of 3 gamification intervention arms designed to enhance supportive, competitive, or collaborative social incentives....### Interventions Participants in the control arm used the devices but received no other interventions and were not asked to conduct goal setting. Participants randomized to 1 of the 3 gamification arms conducted goal setting during the in-person visit. This included selecting a HbA1c reduction goal (1.5%, 2%, or 2.5%), a weight loss goal (6%, 7%, or 8% of their baseline weight), or an increase in daily step counts (33%, 40%, or 50% greater than baseline, or any step goal that is at least 1500 steps above their baseline). A number of design considerations were incorporated to help participants achieve their goals while minimizing risks. First, the weight loss goal was set for a gradual decline over the first 26 weeks and then to maintain that level during the next 26 weeks. Participants were given a weight target each week, and if not achieved, the target remained the same for the following week. Second, participants had a 4-week ramp up toward their daily step goal. For example, a participant with a baseline of 6000 steps per day and goal of 8000 steps per day was asked to achieve goals of 6500, 7000, 7500, and 8000 for each of the first 4 weeks of the study. Then, they were asked to maintain the 8000 steps per day goal for the remainder of the study. Finally, the HbA1c goal was set for the 6-month time point and was expected to be maintained through 1 year. Participants in the gamification arms were entered into an intervention approach based on prior work that used points and levels designed to incorporate insights from behavioral economics [19,20]. First, participants were asked to sign a precommitment pledge to strive to achieve their goals during the study. Precommitment has been demonstrated to motivate behavior change [32,33]. Second, at the beginning of each week, the participant received 70 points (10 for each day that week). If the participant did not weigh-in, they lost 10 points from their balance. This leverages loss aversion, which has demonstrated that loss framing is more effective at motivating behavior change than gain framing [14-16]. Third, at the end of each week, if participants had at least 40 points, achieved their weekly weight target, and averaged at or above their daily step goal, they were moved up a level (levels from lowest to highest: blue, bronze, silver, gold, and platinum). If not, participants were dropped a level. This design creates achievable goal gradients—the notion that the next highest level was attainable—and a sense of social status and progression through the game. All participants begin at the silver level, so that they will feel the loss of dropping to bronze if they do not achieve enough points in the first week. Participants who finished in the platinum level received a trophy, and participants who finished in the gold level received a medal. Fourth, participants got a new set of 70 points every Monday. This design leverages the fresh start effect that is the tendency for aspirational behavior around temporal landmarks such as the beginning of the year, month, or week [34]....Finally, the game varied based on the social incentive arm described as follows: Figure 2 Example of a physician letter. 1. In the supportive social incentive arm, participants were asked to identify a family member or friend to be their support sponsor. This sponsor is encouraged to support the participant in their progress during the study....Figure 3 Example of support partner messages. 2. In the competitive social incentive arm, participants are placed into a group of 3 participants. These participants typically did not know each other before the study but were introduced to each other by email at the beginning of the intervention. At the end of each week, the participants receive an email with a leaderboard that ranks them on their cumulative points in the study thus far and also displays their level. In the event of a tie in total cumulative points, the participants will be secondarily ranked on level. This feedback may help to induce participants to compete for the top spot among the group. 3. In the collaborative social incentive arm, participants are placed into a group of 3 participants as a team. These participants typically did not know each other before the study but were introduced to each other by email at the beginning of the intervention. Each day, one of the members of the group is randomly selected to represent his or her team for that day, and that information is shared with the entire group. If the participant selected weighed in on the previous day, the team keeps their points. If he or she did not, then the team is told that they lost 10 points. In this design, each person is accountable to the others in the team, and this may induce a collaborative effort to meet their daily goals. The entire team moves up a level only if the team has at least 40 points by the end of the week....",Not reported,Yes
27,Results,PMC8144928,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8144928/,"...### Interventions During the in-person visit, all participants received education on the importance of diet and physical activity for weight loss and glycemic control using recommendations from the Centers for Disease Control and Prevention.30 Participants in the control arm received regular feedback and goal setting from the devices and smartphone application but received no other interventions. Participants randomly assigned to 1 of the 3 gamification interventions conducted goal setting during the in-person visit including selecting an HbA1c reduction goal (1.5%, 2%, or 2.5%), a weight loss goal (6%, 7%, or 8%), and a step count increase (33%, 40%, 50%, or any goal ≥1500 steps above baseline). These options were based on prior work18,19,20; participants were told to strive for these goals during the first 6 months and maintain them through 12 months. Participants were given a weekly weight target (about 1 lb or less) that gradually declined to the goal by 6 months. If a weekly goal was not achieved, the target remained the same for the following week. Similar to earlier work,19 step targets increased gradually over 4 weeks. Participants in the intervention arms were entered into a game with points and levels that ran automatically (participants did not have to actively play the game—just strive for their goals) and provided a daily notification on their progress. The design was based on previous work that incorporated principles from behavioral economics.18,19,20 First, participants in the gamification arms signed a precommitment pledge to strive to achieve their goals during the 1-year trial.31,32 In earlier work,18 step goal targets began immediately, which was challenging for some participants. Therefore, in this trial, participants had a ramp-up period during the first 4 weeks in which daily step goal targets increased by 25% per week from baseline to the goal. Participants were asked to strive for this step goal for the rest of the trial but could change the goal at any point as long as it was within the options provided. Second, every Monday, the participant received 70 points (10 for each day of the week). If the participant did not weigh in on the prior day, they lost 10 points from their balance. This practice leverages prospect theory,33 which has demonstrated that loss framing is more effective at motivating behavior change than gain framing.25,33 Third, at the end of each week, participants could move up or down levels (from lowest to highest: blue, bronze, silver, gold, and platinum). This design creates achievable goal gradients, a sense of social status, and progression through the game. If at the end of each week the participant had at least 40 points, achieved their weekly weight target, and averaged at or above their daily step goal, they would move up a level. Fourth, we leveraged the “fresh start effect,” which is the tendency for aspirational behavior around temporal landmarks, such as the beginning of the year, month, or week.34 Similar to prior work,18,19,20 participants started each week with a fresh set of 70 points....Fifth, similar to an earlier study,20 the participants’ primary care physician was mailed a monthly report with data on their change in step counts, weight, HbA1c level, and LDL-C level as a way of increasing social accountability.35 A copy of this letter was also sent to the participant by email each month. Sixth, the game varied based on the social incentive arm as follows. In the support arm, participants were asked to identify a family member or friend who would be a support sponsor and be emailed a weekly report on the participant’s performance in the game over the past week (goal attainment, points, and level) and their targets for the upcoming week (step counts, weight, and points). This sponsor was sent a message at the start of the trial to do their best to support the participant in their progress during the interventions. In the collaboration arm, participants were placed into a team of 3 total participants. These individuals typically did not know each other before the study but were introduced to each other by email. Each day one of the members of the group was randomly selected to represent their team for that day, and that information was shared with the entire group. If the selected participant weighed in on the previous day, the team kept their points. If he or she did not, then the entire team lost 10 points. In this design, each person is accountable to the others on the team, and this strategy was intended to induce a collaborative effort to meet their daily goals. The entire team moved up a level only if the team had at least 40 points by the end of the week. In the competition arm, participants were placed into a group of 3 total participants. These individuals typically did not know each other before the study but were introduced to each other by email. At the end of each week, the participants received an email with a leaderboard that ranked them on their cumulative points in the study thus far and displayed their level. This feedback was intended to encourage participants to compete for the top spot among the group....",Not reported,No
28,Protocol,PMC5832903,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5832903/,"...### Essential Intervention Components The P2E2T2 intervention design was finalized based on pilot study findings and input from key stakeholders. It is important to note that while all stakeholders discussed the value of blood glucose as a PGHD element, the decision was made to not include actionable data (requiring timely monitoring and provider intervention) in this initial demonstration to bring PGHD into the EHR. The core components of the intervention are: 1) the provision of a commercial sensor fitness tracking watch; 2) access to an existing mobile nutrition application; 3) regular nurse health coaching sessions over a period of three months; and 4) integration of PGHD and nurse coaching summaries into the EHR for provider, patient, and nurse coach reflection and tracking of progress....The P2E2T2 Program to Improve Health in Diabetes study is a prospective, randomized controlled trial conducted at an academic health system in California with 2 arms: 1) usual care offered through existing chronic disease management resources at the health system, and 2) the P2E2T2 Program. We planned to enroll 300 patients with type-2 diabetes from the health system’s primary care network, randomizing half to usual care and half to the P2E2T2 Program’s mHealth enabled nurse health coaching intervention....### Control Group During the onboarding session, participants received information and training on currently available technology (existing electronic patient portal) and diabetes related resources available at the health system. MyChart, a personal patient portal to the health system’s EHR system, was introduced and accounts were created for participants who did not already have an active account. Participants were shown how to access and use the MyChart portal through a smartphone, tablet, and/or personal computer. The features of MyChart, including making appointments, viewing labs, contacting providers, and accessing diabetes resources were reviewed. Usual care resources highlighted on the health system’s website and accessible to all patients living with diabetes at the health system (online educational tutorials, diabetes group classes, private messaging with a diabetes educator, and links to diabetes related websites), were reviewed with the participants....### Intervention Group Participants randomized to the intervention arm received all elements of the orientation created for the control group, plus had an extended orientation to prepare them for the mHealth technology and nurse coaching components of the P2E2T2 intervention. The P2E2T2 intervention consists of 3 components: 1) regularly scheduled telephone nurse health coaching sessions; 2) provision of a wireless sensor and mHealth application to capture physical activity, sleep, and nutrition data; and 3) integration of daily PGHD into the EHR. #### Nurse Health Coaching Participants in the intervention group were paired with a nurse health coach who collaborated with them to support health behavior changes. The goal of coaching is to promote mutual goal setting, track relevant health behavior data, and derive meaning from the data to reinforce and improve healthy choices (see Figure 1). An initial face-to-face meeting occurred during the onboarding session where participants met their assigned coach and learned about the coaching aspect of the intervention. Following the in-person meeting, telephone-coaching sessions were scheduled every 2 weeks for 3 months (6 contacts total) at times that were convenient for the participant. The initial coaching session elicited goals and motivations for improved health and established agreed upon metrics (eg, daily steps, calories, and carbohydrates) that the patient and nurse would track and discuss at subsequent telephone sessions. Nurses planned for 30-45 minutes for initial calls and 15-30 minutes for subsequent calls....#### mHealth Technology Each participant received a Garmin VivofitHR activity tracker watch. The watch captures real-time activity data, including steps taken, distance travelled, active calories burned each day, active minutes per week, heart rate, and hours of sleep at night. Participants can personalize goals and receive visual acknowledgement on the watch when they reach their goal for the day. MyFitnessPal, the nutrition tracking application, was an optional component installed on the iPhone or iPod to allow participants to log food and beverage consumption. Participants are able to view trends in activity level, sleep, and nutrition on their smartphone or computer. Participants were encouraged to wear and use the activity tracker for the entire 9-month duration of study participation. The study team made available technical support to participants by telephone throughout the intervention....The data collected by the sensors synchronizes to either an iPhone or an iPod touch. Participants who did not have a compatible iPhone were given an iPod touch for use during the study. Apple HealthKit and MyChart were connectors that allowed PGHD to be automatically transmitted into the EHR for review by nurse coaches and the patient’s healthcare providers. In order to facilitate the passive transfer of PGHD to the EHR, participants were encouraged to synchronize the activity tracker to their iPhone or iPod each day. Passive data transfer of PGHD between the mHealth technology and the EHR occurred for steps and calories burned. Calories and macronutrient information consumed by the participant and logged into the application were also transmitted into the EHR. At the time this study was initiated, it was not possible to passively transmit active minutes per week, sleep, weight, or nutrition data into the EHR, so participants were instructed to enter this data manually using MyChart if they wanted their coach or provider to have access to it. EPIC is the EHR provider for the health system. We used an EPIC feature called Synopsis to design a single screen page to graphically display key PGHD elements in the EHR. Weight, activity, nutrition, and sleep PGHD can be individually selected and displayed in concert with clinically relevant data elements such as laboratory values, medications, and vital signs. Multiple authentication protocols were enacted by the patient and provider to authorize the collection and integration of sensor data into the EHR. The PGHD visualization dashboard within the EHR allowed the nurse and healthcare team the ability to view patient data collected by participants in their daily lives. Summary documentation of coaching activities was also integrated in the EHR. After the final coaching call, the nurse coach sent a summary of each participant’s goals and achievements to his or her primary care provider. Participants were encouraged to continue goal setting and attainment to improve their health, to wear the fitness tracker, and to synchronize their PGHD with MyChart for an additional six months, coinciding with the study end date....",Not reported,Yes
28,Results,PMC7076411,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7076411/,"...This was a randomized controlled trial with 2 arms: (1) usual care through primary care and (2) the Patient and Provider Engagement and Empowerment Through Technology (P2E2T2) Program—nurse coaching paired with mobile sensor technology....#### Usual Care Participants in this group received usual care through their primary care clinic. Usual care comprised standard health care visits with providers and access to classes, resources, and services (ie, diabetes management and weight loss education, electronic learning videos, and care coordination). At the orientation meeting, the study team members provided instruction on how to access these resources and services as well as how to use the health system’s patient portal (MyChart). #### Patient and Provider Engagement and Empowerment Through Technology Intervention Program Group The intervention group participants received the same care through their primary care clinic and training as those receiving usual care regarding health system services and resources. In addition, the intervention included (1) nurse health coaching and (2) mHealth technology to track PGHD and integrate these data into the EHR (see Multimedia Appendix 1). #### Nurse Health Coaching The nurse health coaches for the intervention were 3 registered nurses (RNs) with experience in both health coaching and management of chronic disease....All the RN health coaches delivering the intervention completed the HealthSciences Institute’s Registered Health Coach (RHC) and Chronic Care Professional training programs (www.healthsciences.org). A final performance evaluation using the Motivational Interviewing Treatment Integrity (MITI) 3.1.1 global scale evaluation tool confirmed health coaching competency before the receipt of the RHC certificate [30]. Nurses also completed a refresher course in diabetes management through the American Association of Diabetes Educators as well as the standard health system orientation on policies, procedures, and EHR training. We paired each participant with a nurse health coach who delivered 6 individual sessions using a counseling style based on the concepts of MI. Sessions were structured to promote mutual goal setting, enhance self-efficacy in health behavior change, and assist individuals to derive meaning from data to reinforce choices and behaviors. Two RN researchers with nurse coaching experience in diabetes audited 8 of the 158 (5%) of the participant sessions and scored the coach using the MITI. They provided timely feedback to the coaches during weekly debriefing sessions, reviewed scores, and discussed optimization strategies by reviewing scenarios. The participants had an in-person orientation with the nurse coach, followed by telephone sessions every 2 weeks for 3 months (6 contacts total). The initial MI session elicited motivations and set goals with tracking metrics to gauge the progress toward goals at subsequent sessions. Throughout the sessions, the coaches encouraged the participants to identify facilitators and barriers to achieving their health goals....",Not reported,No
29,Protocol,PMC3061925,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3061925/,"...Patients will be randomised to one of two treatment arms; either the reference multi- dose regimen or the test single-dose regimen....### Interventions #### Multiple-dose regimen A total dose of 21 mg/kg given as a 3 mg/kg intra-vascular (IV) infusion on days 1,2,3,4,5,14 and 21, was chosen as the reference treatment regimen, expected to achieve efficacy of 95% [9,14]. #### Single-dose regimen(s) The trial will compare only one single-dose test regimen to the multi-dose regimen during any one recruitment period but the trial design does allow for testing of incrementally higher single-doses in later recruitment periods if lower doses are ineffective (see above and Type of Analysis section). Based on experience from treatment trials for VL in India and Kenya[15], either 7.5 mg/kg or 10 mg/kg is likely to be the lowest dose to show suitable efficacy in a single-dose regimen [14-16] although the efficacy of treatment regimens used in India can be substantially lower in African setting [8,10]. The trial will begin with a 7.5 mg/kg single-dose regimen in the test arm....Higher single doses to be used, if 7.5 mg/kg is ineffective, are 10 mg/kg,12.5 mg/kg and 15 mg/kg. It is considered that 15 mg is the maximum dose that can be safely administered as a single-dose [15]....",Not reported,Yes
29,Results,PMC3894173,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3894173/,"...The study was designed as a multi-centre, open-label, non-inferiority, randomized controlled trial, using a sequential-step design to evaluate the efficacy and safety of a single dose treatment regimen of intravenous AmBisome® (either 7.5, 10.0, 12.5 or 15.0 mg/kg body weight) compared to the reference multiple dose regimen currently approved in the USA: 3 mg/kg body weight on days 1 to 5, 14, and 21....### Interventions On pre-specified treatment days, AmBisome® dosage was calculated according to body weight. Preparation included reconstitution with sterile water for injection and filtration according to the manufacturer's instructions. Administration was by slow intravenous infusion in 5% dextrose solution. During infusion, patients were closely observed with regular monitoring of vital signs (blood pressure and pulse). A test dose was administered in the first 10 minutes of infusion, and the patients carefully observed for 30 minutes. The time of treatment and dosage was recorded....",Not reported,No
30,Protocol,PMC3148988,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3148988/,"...### Intervention We invite the training group to participate in an exercise program that we have specially designed for pregnancy, including aerobic activity, specific exercises for stabilization of the lower back and pelvis, and strength exercises for the pelvic floor muscles that we have specially designed for pregnancy. We conduct training groups for a total of 60 minutes four times weekly at the hospital. We ask the women to come to exercise training a minimum of twice weekly between 14 and 37 weeks of gestation. We also encourage the women to come for exercise training even after week 37. The endurance training consists of a 10 minute warm-up followed by walking on treadmills for 25 minutes. The intensity will be moderate, reaching ~80% of their maximal capacity in periods (corresponding to Borg scale12-15) [18]. In addition, we instruct intervention women in a 50 minute home exercise program which we encourage them to complete at least once per week (35 minutes endurance training and 15 minutes strength exercises). We also teach pelvic floor muscle exercises to do daily. We also recommend the women to be physically active in every-day life....During the training period, the subjects will go through motivational interviewing [19]. This is a client-centred therapeutic method to enhance readiness for change and to elicit the client's own motivations for change. Each woman will go through a 30 minute session of motivational interviewing in each trimester. They will also receive a weight gain curve that shows the recommended weight gain throughout pregnancy, based on 2009 Institute of Medicine guidelines [20]. The training protocol follows recommendations from the Norwegian Health Directory [21] and the American College of Obstetrics and Gynecology [6]. Specific adjustments are made to the exercise program if needed (for example by using a stationary bike instead of treadmill walking and by modifying the strength exercises to the actual strength level of the participants). Women in the control group will receive the customary regular consultations with midwife, general practitioner or obstetrician. They are not discouraged from exercising on their own....In Norway, the pregnancy care is free of charge....In addition, women are invited to an ultrasound scan is gestational week 18. There is currently no knowledge about the actual advices about physical activity that prenatal care providers give to pregnant women, but the guidelines from the Norwegian Health Directory [21] are in line with the international guidelines [6]....",Not reported,Yes
30,Results,PMC4961392,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4961392/,"...The exercise group was offered, in addition to standard maternity care, exercise sessions at the hospital three times weekly, from baseline (gestational week 12–18) until delivery. The exercise sessions were supervised by a physical therapist and were in accordance with the recommendations from the American College of Obstetricians and Gynecologists [24]. Each session lasted 60 min and consisted of treadmill walking/jogging for 35 min (endurance training) and resistance training for large muscle groups and the pelvic floor muscles for 25 min. The intensity of the endurance training was set to ~80% of maximal capacity (corresponding to Borg scale 12–15) [25]. The resistance training consisted of squats, push-ups, diagonal lifts on all fours, and oblique abdominal crunches, with three sets of ten repetitions of each exercise separated by a 1-min rest between sets. Participants also did three sets of the “plank exercise” for 30 s....In addition, the women were asked to follow a 50-min home exercise program at least once weekly (35 min of endurance training and 15 min of strength exercises) and to do daily pelvic floor muscle exercises....The women were invited to attend one motivational interview session [23], either individually or in a group, during the intervention period. The control group received ordinary maternity care by their midwife, general practitioner, and/or obstetrician....The women in the control group were asked to continue their normal daily activities and were not discouraged from exercising on their own....Information given to the participants in the exercise group....Exercise recording form for training sessions at St. Olavs Hospital....Exercise recording from for training and physical activity at home....Home-based exercise program....Questionnaire regarding general physical activity at baseline....Questionnaire regarding general physical activity at late pregnancy....",Not reported,No
31,Protocol,PMC5994046,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5994046/,"...### NIATx implementation strategy Programs in the NIATx intervention will be assigned a NIATx trained process improvement coach who leads the active implementation phase. Over a 12-month active implementation period, the coach works with executive directors, change leaders and teams. Coaching includes a one-day site visit and individual monthly phone conferences (10 h total) with each program. Prior to the site visit, the coach will introduce the project, review initial DDCAT results, discuss how to conduct a walk-through [64] and set the stage for the site visit. The site visit will use a standardized agenda to ensure fidelity. During the visit, the coach will meet with executive leadership, review the walk-through and DDCAT assessment results, and train staff on the use of the NIATx implementation strategies. With their coach, the program will utilize results from the DDCAT assessment to identify areas for improvement, implement change projects and assess their impact. After the site visit, the coach will conduct bi-monthly coaching calls with their assigned programs for the 1st quarter of the implementation period and monthly calls thereafter. In the individual calls, the coach and change team will review change projects, discuss successes, and identify new change projects. In addition to individual coaching calls, the coach provides support through learning sessions and group coaching calls. Two group calls, moderated by the coach, will involve change leaders from multiple programs and provide an opportunity for peer-to-peer sharing. On these calls, the change leaders will discuss common change-related issues, progress, and exchange innovative implementation strategies with their peers. The calls will also allow the coach to share new strategies and discuss implementation issues such as sustainment of organizational change. The study will include two one-day coach-led learning sessions for all programs within a cohort. Learning sessions promote peer-to-peer sharing about specific goals and objectives using a tailored agenda. The first learning session will teach programs how to use NIATx process improvement strategies through skill development activities such as how to identify change opportunities, develop PDSA cycles and effective use of data to drive change. The second learning session will include program presentations about change efforts and discuss how to develop sustainment plans to continue to improve integrated services. Coach supports will ensure that NIATx is delivered with fidelity to all participating programs. Supports include: a one-day coach training session at the study start to review objectives, provide NIATx refresher and review how to interpret DDCAT results in order to design change projects; a standardized site visit agenda; and a standardized coach report to capture program interactions. In addition, the coaches will participate in monthly calls with the PI (Dr. Ford) to review progress, discuss issues, receive advice from peers, share promising practices and clarify any research issues....### Availability of data and materials The data related to the implementation outcomes that support the findings of this study are available from the Washington Department of Social and Health Services but restrictions apply to the availability of these data, which were used under license for the current study, and so are not publicly available. The datasets generated during and/or analyzed during the current study related to the DDCAT, CFIR or NIATx SIC are available from the corresponding author on reasonable request....",Not reported,Yes
31,Results,PMC6814122,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6814122/,"...### Implementation strategy – NIATx The NIATx implementation strategy included a coach led site visit, individual coaching calls, group coaching calls and learning sessions (Table 1). For a typical program, the coach made contact approximately two weeks after the DDCAT visit and followed that call up with a site visit planning call two weeks later. Typically, the site visit occurred a month after the site visit planning call but the actual timing was dependent on program staff member availability. The first cohort-wide learning session occurred in October/November which was after the site visit for all but three programs. After the site visit, individual coach calls occurred approximately every 40 days but the actual number of calls varied by program. Two group coaching calls occurred in February and May. The NIATx intervention concluded at the end of June after the wrap-up learning session....## Availability of data and materials Datasets generated and/or analyzed during the current study are not publically available, but are available from the corresponding author on reasonable request. The DDCAT Index measure (V4.1) is available from the authors upon request....",Not reported,No
32,Protocol,PMC3045905,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3045905/,"...### Interventions #### Homeopathic case history - Type I or II...This involves disclosing information using different homeopathic techniques, in order to assess their influence on depression severity. Type I and II differ in the time used for the semi- standardized questionnaire and the onsite patients-doctor interaction and to ensure patients' blinding are not further described here. The content and structure of the questionnaire used in DEP-HOM follows Hahnemann's case history instructions [20], with some additional questions stressing the symptoms of a depressive episode. The questionnaire was developed in consensus with members of the German Homeopathic Doctors Association and pretested. #### Individualized homeopathic Q-potencies or placebo The selection of the individualized remedy (case analysis) will be carried out after the case history, in the absence of the patient, by medical doctor specialized in homeopathy with 20 years experience classical homeopathy based on the the clinical-pharmaceutical protocol [21] developed by Hahnemann, which includes the standardized use of ascending Q-potencies [20]. The investigator is also experienced in case history and analysis under double blind conditions [17]. Q-potencies will be provided from the study pharmacy by Dr. Zinsser Arzneimittel, (Freudenstadt, Germany) and are manufactured according to the methodology described in the 6th edition of the Organon. The prescription of the individualized homeopathic Q-potency will be sent to the Charité pharmacy, together with the patient's randomization number. According to the randomization number, the study pharmacist will dissolve one sucrose globule of the prescribed Q-potency (Q2) or one sucrose globule (placebo) in 10 ml of 20% alcohol-distilled water solvent....The standard dose will be one drop of the received vial three times per week [21]....Blinded medicine, dosage or potency changes will be allowed on a clinical basis. Basal Q-potency medicines stored by the study Pharmacy are listed below (Appendix 1)....",Not reported,Yes
